date,source,server,low,q1,md,q3,high
2025-04-30,op-hk8a,public,166,4236,5991,8065,13530
2025-04-30,op-hk8a-conflux,public,197,6355,9219,12336,20971
2025-04-30,op-us8a,public,0,0,0,0,0
2025-04-30,op-us8a-conflux,public,181,8559,13981,19972,34952
2025-05-01,op-de8a,public,261,8388,14463,22075,41943
2025-05-01,op-de8a-conflux,public,474,11650,19972,32263,59918
2025-05-01,op-hk8a,public,94,4194,6078,7913,13107
2025-05-01,op-hk8a-conflux,public,201,5667,9320,11650,19972
2025-05-01,op-us8a,public,0,0,0,0,0
2025-05-01,op-us8a-conflux,public,125,7767,12336,18236,32263
2025-05-02,op-de8a,public,153,8559,13981,22075,41943
2025-05-02,op-de8a-conflux,public,445,15534,24672,38130,69905
2025-05-02,op-hk8a,public,327,4660,6452,8388,13530
2025-05-02,op-hk8a-conflux,public,235,6355,9320,12710,22075
2025-05-02,op-us8a,public,0,0,0,0,0
2025-05-02,op-us8a-conflux,public,138,9118,13530,19065,32263
2025-05-03,op-de8a,public,242,7489,13530,22075,41943
2025-05-03,op-de8a-conflux,public,241,12710,22075,38130,69905
2025-05-03,op-hk8a,public,104,4369,6452,8559,14463
2025-05-03,op-hk8a-conflux,public,209,5518,8388,11335,19972
2025-05-03,op-us8a,public,0,0,0,0,0
2025-05-03,op-us8a-conflux,public,437,7840,13107,19065,34952
2025-05-04,op-de8a,public,217,3813,8924,18236,38130
2025-05-04,op-de8a-conflux,public,179,5178,12336,24672,52428
2025-05-04,op-hk8a,public,109,2637,5053,7294,13981
2025-05-04,op-hk8a-conflux,public,96,2448,5667,9532,19972
2025-05-04,op-us8a,public,0,0,0,0,0
2025-05-04,op-us8a-conflux,public,143,3615,8738,16131,32263
2025-05-05,op-de8a,public,213,3554,7358,15117,32263
2025-05-05,op-de8a-conflux,public,256,3956,10485,20971,41943
2025-05-05,op-hk8a,public,117,1902,4112,7108,13981
2025-05-05,op-hk8a-conflux,public,84,2186,4934,8065,16777
2025-05-05,op-us8a,public,0,0,0,0,0
2025-05-05,op-us8a-conflux,public,128,2984,6990,12336,26214
2025-05-06,op-de8a,public,135,3295,7989,14979,32263
2025-05-06,op-de8a-conflux,public,145,4415,9986,19972,41943
2025-05-06,op-hk8a,public,79,1773,3901,6452,12710
2025-05-06,op-hk8a-conflux,public,132,2369,5825,9118,19065
2025-05-06,op-us8a,public,0,0,0,0,0
2025-05-06,op-us8a-conflux,public,124,4510,9320,14979,29959
2025-05-07,op-de8a,public,172,6403,11335,19065,34952
2025-05-07,op-de8a-conflux,public,417,6657,12710,23301,46603
2025-05-07,op-hk8a,public,133,3576,5447,7489,13107
2025-05-07,op-hk8a-conflux,public,302,5053,8065,11335,19972
2025-05-07,op-us8a,public,0,0,0,0,0
2025-05-07,op-us8a-conflux,public,247,6553,11335,18236,34952
2025-05-08,op-de8a,public,147,3847,7626,14463,29959
2025-05-08,op-de8a-conflux,public,263,5667,10230,19972,38130
2025-05-08,op-hk8a,public,164,2511,4279,6355,11983
2025-05-08,op-hk8a-conflux,public,659,4042,6875,10230,19065
2025-05-08,op-us8a,public,0,0,0,0,0
2025-05-08,op-us8a-conflux,public,97,4194,8388,14979,29959
2025-05-09,op-de8a,public,99,2066,4462,9320,19972
2025-05-09,op-de8a-conflux,public,352,3761,7108,13530,27962
2025-05-09,op-hk8a,public,109,1632,2912,4934,9532
2025-05-09,op-hk8a-conflux,public,302,2979,5210,7876,14979
2025-05-09,op-us8a,public,0,0,0,0,0
2025-05-09,op-us8a-conflux,public,256,2902,5242,9320,18236
2025-05-10,op-de8a,public,83,3396,7358,13981,27962
2025-05-10,op-de8a-conflux,public,188,4793,8388,16131,32263
2025-05-10,op-hk8a,public,121,2269,4236,6355,12336
2025-05-10,op-hk8a-conflux,public,232,3919,6355,9754,18236
2025-05-10,op-us8a,public,0,0,0,0,0
2025-05-10,op-us8a-conflux,public,68,3584,6990,12336,24672
2025-05-11,op-de8a,public,189,2974,6078,11037,22075
2025-05-11,op-de8a-conflux,public,333,4609,8924,16777,34952
2025-05-11,op-hk8a,public,125,2304,4112,6123,11650
2025-05-11,op-hk8a-conflux,public,131,3719,6214,9320,17476
2025-05-11,op-us8a,public,0,0,0,0,0
2025-05-11,op-us8a-conflux,public,156,3956,7358,12336,24672
2025-05-12,op-de8a,public,198,2933,6034,11335,23301
2025-05-12,op-de8a-conflux,public,181,5706,10230,19972,38130
2025-05-12,op-hk8a,public,197,2317,3956,5825,11037
