log_file_path,iteration_no,tor_status,location,codec,caller_pesq_raw,caller_pesq_mos,callee_pesq_raw,callee_pesq_mos,caller_jitter_mean,caller_jitter_median,caller_jitter_max,caller_jitter_range,caller_jitter_iqr,caller_jitter_std_dev,callee_jitter_mean,callee_jitter_median,callee_jitter_max,callee_jitter_range,callee_jitter_iqr,callee_jitter_std_dev
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,47,Tor,10SauPaul-malaysia,g711,3.009,2.835,2.701,2.394,27.5345618479881,26.8135,51.491,51.491,3.473,4.45370511318079,32.1477995594714,31.0265,81.377,81.377,3.97925,6.56540980041435
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,48,Tor,10SauPaul-malaysia,g711,3.259,3.208,2.89,2.661,24.0562563150074,23.8005,41.727,41.727,1.8305,3.26718673005528,29.4631906158358,28.4395,65.244,65.244,3.46375,5.50075351207598
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,49,Tor,10SauPaul-malaysia,g711,2.486,2.118,2.002,1.633,32.060191679049,29.7205,77.743,77.743,9.0115,8.44736847005077,35.0694868228404,33.3635,86.254,86.254,5.687,7.67032388183231
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,0,Tor,3Bangl-nyc,g711,3.012,2.84,2.788,2.515,24.7743303703704,24.16,46.223,46.223,3.568,3.78849168206771,30.7771262773723,30.8815,49.06,49.06,2.449,3.15501552509485
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,1,Tor,3Bangl-nyc,g711,3.381,3.387,2.995,2.815,23.3602214814815,23.214,45.232,45.232,1.552,2.75290041868198,25.9864227106227,25.344,57.815,57.815,1.994,4.3496098342818
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,2,Tor,3Bangl-nyc,g711,2.936,2.729,2.753,2.466,24.4082177777778,24.164,35.253,35.253,2.675,2.96729982809451,27.61967715959,27.4695,42.197,42.197,2.2735,3.1405574196238
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,3,Tor,3Bangl-nyc,g711,3.056,2.906,2.973,2.782,24.7215977777778,24.5175,38.516,38.516,2.73425,3.32094351457203,27.9904136163982,27.845,47.295,47.295,2.6675,3.45829047493352
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,4,Tor,3Bangl-nyc,g711,3.153,3.051,2.974,2.784,25.7928096296296,25.4135,45.022,45.022,3.34575,3.89171113023336,31.1756352339181,31.2195,44.146,44.146,3.14,3.32508091402961
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,5,Tor,3Bangl-nyc,g711,3.138,3.028,3.06,2.912,25.2161325925926,24.6215,45.725,45.725,2.55075,3.88088003394265,31.703146394756,31.723,49.335,49.335,3.061,3.66912171487702
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,6,Tor,3Bangl-nyc,g711,3.073,2.931,2.958,2.76,23.7688274074074,23.512,37.238,37.238,2.3905,2.84638837718305,31.3101225238445,31.335,45.583,45.583,2.958,3.52841464990415
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,7,Tor,3Bangl-nyc,g711,3.172,3.079,2.986,2.801,25.2800844444444,24.6735,52.566,52.566,2.875,4.01220565742704,31.1415972120323,31.086,45.051,45.051,2.51000000000001,3.4325256955219
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,8,Tor,3Bangl-nyc,g711,3.052,2.899,2.966,2.772,24.5306437037037,24.3425,34.49,34.49,2.57825,2.84912964505612,31.3104629493764,31.265,46.37,46.37,2.584,3.65196496691686
